Date,Comparison_Type
Date,Comparison_Type
19480724,1
19480729,1
19480809,1
19480812,1
19480815,1
19480815,1
19480904,1
19480905,1
19480922,1
19480924,1
19480930,1
19481009,1
19481009,1
19481021,1
19481022,1
19481024,1
19481029,1
19481105,1
19481105,1
19481107,1
19481109,1
19481117,1
19481119,1
19481119,1
19481123,1
19481129,1
194811,1
19481204,1
19481207,1
19481219,1
19481219,1
19481221,1
19481225,1
19481229,1
194812,1
19490101,1
19490104,1
19490106,1
19490108,1
19490114,1
19490125,1
19490201,1
19490203,1
19490204,1
19490206,1
19490208,1
19490210,1
19490214,1
19490216,1
19490222,1
19490224,1
19490226,1
19490301,1
19490301,1
19490307,1
19490323,1
19490324,1
19490328,1
19490405,1
19490406,1
19490413,1
19490416,1
19490416,1
19490419,1
19490428,1
19490501,1
19490503,1
19490506,1
19490510,1
19490511,1
19490604,1
19490609,1
19490614,1
19490624,1
19490628,1
19490702,1
19490704,1
19490710,1
19490712,1
19490715,1
19490728,1
194907,1
19490804,1
19490808,1
19490810,1
19490811,1
19490813,1
19490815,1
19490820,1
19490821,1
19490907,1
19490918,1
19490920,1
19490924,1
19490925,1
19490930,1
19491007,1
19491012,1
19491025,1
19491101,1
19491102,1
19491102,1
19491106,1
19491110,1
19491123,1
19491124,1
19491126,1
19491126,1
19491127,1
19491128,1
19491202,1
19491204,1
19491207,1
19491210,1
19491210,1
19491211,1
19491215,1
19491222,1
19491222,1
19491224,1
19491225,1
19491225,1
19491228,1
19491230,1
19500101,1
19500105,1
19500107,1
19500111,1
19500114,1
19500121,1
19500125,1
19500127,1
19500202,1
19500208,1
19500208,1
19500215,1
19500215,1
19500217,1
195002,1
195002,1
19500301,1
19500301,1
19500303,1
19500304,1
19500316,1
19500321,1
195003,1
19500404,1
19500413,1
19500415,1
19500418,1
19500418,1
19500421,1
19500427,1
19500430,1
195004,1
195004,1
19500531,1
195005,1
195005,1
195005,1
195005,1
19500606,1
19500609,1
19500620,1
19500704,1
19500711,1
19500716,1
19500716,1
19500716,1
19500717,1
19500718,1
19500722,1
19500723,1
19500730,1
19500731,1
19500815,1
19500815,1
19500817,1
19500818,1
19500818,1
19500819,1
19500822,1
19500825,1
19500825,1
19500828,1
19500903,1
19500906,1
19500917,1
19500917,1
19500918,1
19500920,1
19500922,1
19500923,1
19500926,1
19500929,1
19500929,1
19501018,1
19501021,1
19501024,1
19501025,1
19501027,1
19501114,1
19501129,1
19501202,1
19501208,1
19501226,1
19501229,1
19501230,1
1950,1
1950,1
1950,1
1950,1
1950,1
1950,1
1950,1
1950,1
1950,1
1950,1
1950,1
1950,1
1950,1
1950,1
1950,1
1950,1
1950,1
1950,1
1950,1
1950,1
1950,1
1950,1
19510101,1
19510109,1
19510202,1
19510202,1
19510212,1
19510216,1
19510216,1
19510216,1
19510301,1
19510302,1
19510306,1
19510310,1
19510314,1
19510324,1
19510326,1
19510331,1
19510406,1
19510408,1
19510412,1
19510419,1
19510430,1
19510505,1
19510505,1
19510510,1
19510515,1
19510516,1
19510517,1
19510518,1
19510529,1
19510530,1
19510607,1
19510607,1
19510608,1
19510624,1
19510624,1
19510625,1
19510627,1
19510717,1
19510724,1
19510728,1
19510730,1
19510805,1
19510815,1
19510818,1
19510818,1
19510901,1
19510901,1
19510906,1
19510909,1
19510918,1
19510919,1
19510921,1
19510923,1
19510925,1
19510927,1
19510928,1
19511018,1
19511024,1
19511024,1
19511030,1
19511114,1
19511205,1
19511205,1
19511205,1
19511220,1
19511220,1
19511221,1
19511221,1
19511224,1
19511225,1
1951,1
1951,1
1951,1
1951,1
1951,1
1951,1
1951,1
1951,1
1951,1
1951,1
1951,1
1951,1
1951,1
1951,1
1951,1
1951,1
1951,1
19520101,1
19520107,1
19520107,1
19520108,1
19520111,1
19520114,1
19520115,1
19520116,1
19520117,1
19520118,1
19520119,1
19520119,1
19520121,1
19520129,1
195201,1
19520208,1
19520208,1
19520212,1
19520216,1
19520220,1
19520226,1
19520229,1
19520301,1
19520302,1
19520303,1
19520306,1
19520307,1
19520310,1
19520311,1
19520318,1
19520319,1
19520320,1
19520323,1
19520326,1
19520415,1
19520416,1
19520424,1
19520425,1
19520503,1
19520518,1
19520519,1
19520523,1
19520529,1
19520602,1
19520602,1
19520604,1
19520608,1
19520614,1
19520615,1
19520625,1
19520627,1
19520630,1
19520702,1
19520705,1
19520717,1
19520717,1
19520721,1
19520721,1
19520726,1
19520727,1
19520729,1
19520809,1
19520815,1
19520815,1
19520825,1
19520829,1
19520909,1
19520926,1
19520928,1
19521005,1
19521007,1
19521012,1
19521013,1
19521013,1
19521015,1
19521021,1
19521027,1
19521029,1
19521030,1
19521031,1
19521101,1
19521105,1
19521106,1
19521108,1
19521111,1
19521113,1
19521119,1
19521121,1
19521127,1
19521207,1
19521208,1
19521209,1
19521220,1
19521223,1
19521224,1
19521231,1
19521231,1
1952,1
1952,1
1952,1
1952,1
1952,1
1952,1
1952,1
1952,1
1952,1
1952,1
1952,1
1952,1
1952,1
1952,1
1952,1
1952,1
1952,1
1952,1
1952,1
1952,1
19530101,1
19530105,1
19530106,1
19530107,1
19530109,1
19530121,1
19530124,1
19530205,1
19530212,1
19530215,1
19530222,1
19530227,1
19530302,1
19530302,1
19530306,1
19530307,1
19530321,1
19530323,1
19530325,1
19530328,1
19530402,1
19530406,1
19530420,1
19530424,1
19530428,1
19530503,1
19530505,1
19530507,1
19530521,1
19530522,1
19530528,1
19530604,1
19530605,1
19530605,1
19530606,1
19530608,1
19530608,1
19530611,1
19530612,1
19530615,1
19530618,1
19530619,1
19530624,1
19530625,1
19530703,1
19530704,1
19530705,1
19530712,1
19530713,1
19530722,1
19530723,1
19530724,1
19530727,1
19530728,1
19530728,1
19530802,1
19530808,1
19530809,1
19530815,1
19530819,1
19530820,1
19530902,1
19530902,1
19530903,1
19530908,1
19530910,1
19530910,1
19530910,1
19530914,1
19530917,1
19530918,1
19530919,1
19530919,1
19530921,1
19530927,1
19531006,1
19531010,1
19531010,1
19531013,1
19531013,1
19531017,1
19531026,1
19531111,1
19531111,1
19531115,1
19531124,1
19531125,1
19531127,1
19531128,1
19531130,1
19531130,1
19531130,1
19531208,1
19531214,1
19531215,1
19531215,1
19531215,1
19531216,1
19531218,1
19531223,1
19531229,1
1953,1
1953,1
1953,1
1953,1
1953,1
19540103,1
19540115,1
19540120,1
19540120,1
19540122,1
19540123,1
19540123,1
19540128,1
19540130,1
19540201,1
19540301,1
19540311,1
19540311,1
19540315,1
19540319,1
19540321,1
19540326,1
19540327,1
19540327,1
19540329,1
19540329,1
19540330,1
19540406,1
19540407,1
19540410,1
19540410,1
19540412,1
19540419,1
19540428,1
19540428,1
19540428,1
19540430,1
19540504,1
19540506,1
19540507,1
19540507,1
19540512,1
19540513,1
19540515,1
19540516,1
19540517,1
19540519,1
19540521,1
19540521,1
19540524,1
19540603,1
19540609,1
19540610,1
19540612,1
19540614,1
19540618,1
19540625,1
19540625,1
19540628,1
19540629,1
19540630,1
19540701,1
19540702,1
19540703,1
19540703,1
19540705,1
19540712,1
19540714,1
19540717,1
19540717,1
19540719,1
19540728,1
19540730,1
19540730,1
19540730,1
19540731,1
19540801,1
19540806,1
19540807,1
19540812,1
19540813,1
19540815,1
19540816,1
19540825,1
19540830,1
19540901,1
19540918,1
19540920,1
19540928,1
19540929,1
19541001,1
19541002,1
19541007,1
19541008,1
19541012,1
19541014,1
19541017,1
19541019,1
19541020,1
19541103,1
19541103,1
19541112,1
19541113,1
19541116,1
19541117,1
19541117,1
19541119,1
19541125,1
19541129,1
19541130,1
19541203,1
19541204,1
19541207,1
19541208,1
19541210,1
19541211,1
19541211,1
19541214,1
19541216,1
19541223,1
19541229,1
19541231,1
1954,1
19550125,1
19550131,1
19550203,1
19550203,1
19550207,1
19550221,1
19550221,1
19550224,1
19550301,1
19550321,1
19550322,1
19550322,1
19550322,1
19550323,1
19550326,1
19550415,1
19550419,1
19550422,1
19550422,1
19550426,1
19550504,1
19550504,1
19550507,1
19550513,1
19550521,1
19550527,1
19550608,1
19550615,1
19550616,1
19550617,1
19550625,1
19550625,1
19550706,1
19550711,1
19550714,1
19550714,1
19550715,1
19550726,1
195507,1
195507,1
19550801,1
19550801,1
19550813,1
19550815,1
19550815,1
19550816,1
19550817,1
19550820,1
19550822,1
19550822,1
19550825,1
19550830,1
19550902,1
19550903,1
19550905,1
19550907,1
19550916,1
19550917,1
19550917,1
19550919,1
19550919,1
19550926,1
19550928,1
19551,1
19551009,1
19551011,1
19551019,1
19551024,1
19551027,1
19551029,1
19551029,1
19551031,1
19551031,1
19551031,1
19551106,1
19551106,1
19551109,1
19551110,1
19551111,1
19551113,1
19551116,1
19551116,1
19551118,1
19551121,1
19551121,1
19551123,1
19551124,1
19551125,1
19551130,1
19551130,1
19551130,1
195511,1
19551201,1
19551210,1
19551223,1
19551224,1
19551224,1
19551225,1
19551231,1
1955,1
1955,1
1955,1
19560101,1
19560102,1
19560105,1
19560111,1
19560114,1
19560123,1
19560125,1
19560127,1
19560130,1
19560131,1
195601,1
19560202,1
19560203,1
19560213,1
19560214,1
19560225,1
195602,1
195602,1
195602,1
19560302,1
19560303,1
19560305,1
19560312,1
19560312,1
19560320,1
19560322,1
19560323,1
19560324,1
19560325,1
19560328,1
19560329,1
195603,1
19560404,1
19560410,1
19560412,1
19560415,1
19560419,1
19560420,1
19560426,1
19560426,1
19560428,1
19560503,1
19560504,1
19560507,1
19560508,1
19560510,1
19560510,1
19560512,1
19560518,1
19560519,1
19560523,1
19560525,1
19560531,1
195605,1
19560603,1
19560605,1
19560612,1
19560616,1
19560628,1
19560701,1
19560703,1
19560703,1
19560706,1
19560710,1
19560710,1
19560714,1
19560717,1
19560815,1
19560906,1
19560911,1
19560917,1
19560926,1
19560927,1
19560928,1
19561004,1
19561005,1
19561023,1
19561024,1
19561025,1
19561025,1
19561027,1
19561102,1
19561107,1
19561109,1
19561114,1
19561115,1
19561121,1
19561124,1
19561201,1
19561206,1
19561212,1
19561213,1
19561215,1
19561218,1
19561225,1
19561226,1
195612,1
1956,1
19570101,1
19570101,1
19570116,1
19570117,1
19570118,1
19570119,1
19570212,1
19570215,1
19570216,1
19570216,1
195702,1
19570301,1
19570328,1
19570419,1
19570428,1
19570430,1
19570501,1
19570508,1
19570513,1
19570518,1
19570518,1
19570520,1
19570521,1
19570522,1
19570525,1
19570529,1
19570606,1
19570612,1
19570615,1
19570625,1
19570703,1
19570704,1
19570704,1
19570705,1
19570715,1
19570726,1
19570807,1
19570815,1
19570913,1
19570915,1
19570918,1
19570919,1
19570920,1
19570926,1
19571001,1
19571002,1
19571007,1
19571013,1
19571015,1
19571021,1
19571024,1
19571025,1
19571026,1
19571118,1
19571120,1
19571130,1
19571204,1
19571207,1
19571223,1
19571225,1
19571229,1
19571230,1
1957,1
19580101,1
19580101,1
19580111,1
19580118,1
19580204,1
19580207,1
19580214,1
19580223,1
19580226,1
19580301,1
19580303,1
19580304,1
19580306,1
19580308,1
19580318,1
19580319,1
19580325,1
19580403,1
19580408,1
19580415,1
19580425,1
19580425,1
19580426,1
19580426,1
19580503,1
19580507,1
19580508,1
19580509,1
19580513,1
19580517,1
19580517,1
19580519,1
19580526,1
19580606,1
19580606,1
19580606,1
19580607,1
19580607,1
19580616,1
19580624,1
19580710,1
19580724,1
19580815,1
19580821,1
19580829,1
19580901,1
19580913,1
19581001,1
19581002,1
19581008,1
19581010,1
19581023,1
19581024,1
19581025,1
19581031,1
19581101,1
19581103,1
19581108,1
19581115,1
19581116,1
19581121,1
19581124,1
19581128,1
19581225,1
19581225,1
1958,1
19590101,1
19590102,1
19590115,1
19590122,1
19590123,1
19590203,1
19590221,1
19590301,1
19590310,1
19600813,1
19600829,1
19600915,1
19631217,1
19631217,1
19640101,1
19640104,1
19640104,1
19640110,1
19640110,1
19640123,1
19640222,1
19640226,1
19640227,1
19640301,1
19640306,1
19640307,1
19640310,1
19640310,1
19640313,1
19640321,1
19640326,1
19640401,1
19640405,1
19640406,1
19640407,1
19640411,1
19640415,1
19640416,1
19640419,1
19640427,1
19640428,1
19640429,1
19640501,1
19640502,1
19640505,1
19640507,1
19640509,1
19640512,1
19640516,1
19640516,1
19640516,1
19640519,1
19640521,1
19640521,1
19640526,1
19640527,1
19640528,1
19640603,1
19640606,1
19640610,1
19640620,1
19640620,1
19640623,1
19640625,1
19640625,1
19640626,1
19640627,1
19640701,1
19640714,1
19640717,1
19640717,1
19640718,1
19640721,1
19640724,1
19640728,1
19640728,1
19640729,1
19640801,1
19640805,1
19640815,1
19640815,1
19640815,1
19640820,1
19640825,1
19640903,1
19640904,1
19640907,1
19640915,1
19640918,1
19640921,1
19640926,1
19641001,1
19641003,1
19641005,1
19641009,1
19641009,1
19641015,1
19641021,1
19641024,1
19641024,1
19641027,1
19641028,1
19641030,1
19641103,1
19641103,1
19641106,1
19641109,1
19641112,1
19641118,1
19641121,1
19641203,1
19641204,1
19641204,1
19641205,1
19641206,1
19641207,1
19641208,1
19641208,1
19641208,1
19641209,1
19641209,1
19641209,1
19641210,1
19641210,1
19641210,1
19641211,1
19641212,1
19641212,1
19641214,1
19641214,1
19641215,1
19641220,1
19641221,1
19641224,1
19641224,1
19641224,1
19641224,1
19641228,1
19641230,1
1964,1
1964,1
1964,1
1964,1
1964,1
1964,1
1964,1
1964,1
1964,1
1964,1
19650101,1
19650101,1
19650101,1
19650110,1
19650116,1
19650122,1
19650123,1
19650123,1
19650125,1
19650126,1
19650209,1
19650210,1
19650212,1
19650220,1
19650220,1
19650222,1
19650223,1
19650224,1
19650226,1
19650301,1
19650305,1
19650310,1
19650310,1
19650312,1
19650319,1
19650323,1
19650329,1
19650405,1
19650406,1
19650419,1
19650428,1
19650430,1
19650502,1
19650512,1
19650516,1
19650516,1
19650517,1
19650517,1
19650517,1
19650517,1
19650518,1
19650518,1
19650519,1
19650519,1
19650519,1
19650519,1
19650519,1
19650520,1
19650520,1
19650521,1
19650521,1
19650521,1
19650522,1
19650524,1
19650524,1
19650601,1
19650601,1
19650606,1
19650610,1
19650611,1
19650616,1
19650623,1
19650623,1
19650625,1
19650707,1
19650712,1
19650717,1
19650718,1
19650721,1
19650727,1
19650802,1
19650803,1
19650815,1
19650825,1
19650826,1
19650831,1
19650915,1
19650917,1
19650918,1
19650920,1
19650920,1
19650922,1
19650924,1
19650928,1
19650928,1
19650930,1
19650930,1
19651001,1
19651002,1
19651003,1
19651003,1
19651003,1
19651005,1
19651009,1
19651009,1
19651009,1
19651012,1
19651015,1
19651016,1
19651019,1
19651021,1
19651022,1
19651024,1
19651027,1
19651027,1
19651103,1
19651103,1
19651110,1
19651111,1
19651111,1
19651112,1
19651115,1
19651116,1
19651118,1
19651119,1
19651122,1
19651122,1
19651124,1
19651125,1
19651127,1
19651130,1
19651201,1
19651202,1
19651203,1
19651204,1
19651207,1
19651207,1
19651208,1
19651210,1
19651216,1
19651216,1
19651216,1
19651217,1
19651218,1
19651218,1
19651224,1
19651225,1
19651227,1
19660101,1
19660101,1
19660101,1
19660101,1
19660104,1
19660112,1
19660115,1
19660118,1
19660119,1
19660123,1
19660127,1
19660128,1
19660204,1
19660207,1
19660207,1
19660207,1
19660208,1
19660209,1
19660210,1
19660210,1
19660210,1
19660210,1
19660213,1
19660215,1
19660215,1
19660216,1
19660218,1
19660218,1
19660226,1
19660301,1
19660302,1
19660303,1
19660305,1
19660306,1
19660310,1
19660316,1
19660319,1
19660324,1
19660330,1
19660406,1
19660406,1
19660406,1
19660409,1
19660415,1
19660419,1
19660425,1
19660428,1
19660501,1
19660503,1
19660505,1
19660505,1
19660512,1
19660516,1
19660519,1
19660519,1
19660523,1
19660525,1
19660529,1
19660530,1
19660531,1
19660601,1
19660601,1
19660606,1
19660608,1
19660608,1
19660609,1
19660610,1
19660613,1
19660614,1
19660625,1
19660628,1
19660630,1
19660701,1
19660705,1
19660706,1
19660706,1
19660707,1
19660717,1
19660717,1
19660718,1
19660725,1
19660802,1
19660802,1
19660805,1
19660805,1
19660805,1
19660815,1
19660827,1
19660902,1
19660908,1
19660910,1
19660915,1
19660916,1
19660918,1
19660919,1
19660920,1
19660922,1
19660925,1
19660925,1
19660929,1
19661001,1
19661002,1
19661003,1
19661005,1
19661006,1
19661006,1
19661008,1
19661009,1
19661010,1
19661013,1
19661015,1
19661015,1
19661021,1
19661021,1
19661021,1
19661023,1
19661024,1
19661026,1
19661027,1
19661027,1
19661028,1
19661031,1
19661031,1
19661101,1
19661102,1
19661103,1
19661103,1
19661104,1
19661107,1
19661109,1
19661109,1
19661110,1
19661110,1
19661119,1
19661120,1
19661120,1
19661122,1
19661122,1
19661123,1
19661124,1
19661128,1
19661129,1
19661130,1
19661204,1
19661208,1
19661208,1
19661210,1
19661213,1
19661214,1
19661216,1
19661216,1
19661217,1
19661224,1
19661227,1
19670101,1
19670101,1
19670101,1
19670101,1
19670101,1
19670104,1
19670110,1
19670110,1
19670116,1
19670117,1
19670120,1
19670123,1
19670124,1
19670130,1
19670202,1
19670213,1
19670215,1
19670220,1
19670221,1
19670221,1
19670222,1
19670223,1
19670224,1
19670227,1
19670227,1
19670301,1
19670302,1
19670303,1
19670304,1
19670304,1
19670305,1
19670305,1
19670306,1
19670310,1
19670311,1
19670327,1
19670328,1
19670330,1
19670330,1
19670331,1
19670401,1
19670402,1
19670405,1
19670405,1
19670406,1
19670407,1
19670411,1
19670415,1
19670415,1
19670415,1
19670415,1
19670417,1
19670418,1
19670418,1
19670419,1
19670420,1
19670420,1
19670421,1
19670424,1
19670424,1
19670425,1
19670426,1
19670427,1
19670428,1
19670429,1
19670501,1
19670501,1
19670507,1
19670508,1
19670516,1
19670517,1
19670520,1
19670606,1
19670612,1
19670616,1
19670617,1
19670625,1
19670629,1
19670701,1
19670710,1
19670710,1
19670716,1
19670717,1
19670717,1
19670719,1
19670727,1
19670805,1
19670810,1
19670815,1
19670815,1
19670823,1
19670824,1
19670906,1
19670914,1
19670918,1
19670920,1
19670920,1
19670924,1
19670925,1
19670927,1
19670929,1
19671001,1
19671003,1
19671005,1
19671009,1
19671013,1
19671013,1
19671015,1
19671016,1
19671016,1
19671018,1
19671020,1
19671021,1
19671024,1
19671027,1
19671101,1
19671102,1
19671103,1
19671103,1
19671103,1
19671104,1
19671110,1
19671111,1
19671113,1
19671115,1
19671123,1
19671204,1
19671205,1
19671208,1
19671212,1
19671215,1
19671220,1
19671225,1
19671228,1
19680101,1
19680101,1
19680101,1
19680101,1
19680106,1
19680106,1
19680110,1
19680115,1
19680123,1
19680129,1
19680131,1
19680201,1
19680207,1
19680209,1
19680222,1
19680223,1
19680223,1
19680226,1
19680227,1
19680228,1
19680228,1
19680301,1
19680304,1
19680306,1
19680307,1
19680322,1
19680401,1
19680405,1
19680416,1
19680417,1
19680428,1
19680429,1
19680502,1
19680516,1
19680518,1
19680518,1
19680521,1
19680529,1
19680606,1
19680607,1
19680610,1
19680613,1
19680618,1
19680625,1
19680710,1
19680711,1
19680717,1
19680719,1
19680723,1
19680725,1
19680806,1
19680812,1
19680815,1
19680815,1
19680826,1
19680903,1
19680903,1
19680909,1
19680909,1
19680911,1
19680912,1
19680915,1
19680916,1
19680917,1
19680918,1
19680919,1
19680919,1
19680920,1
19680920,1
19680921,1
19680921,1
19680923,1
19680923,1
19680925,1
19680925,1
19680928,1
19680930,1
19681001,1
19681003,1
19681008,1
19681009,1
19681018,1
19681021,1
19681022,1
19681024,1
19681026,1
19681031,1
19681101,1
19681103,1
19681108,1
19681111,1
19681114,1
19681115,1
19681118,1
19681120,1
19681130,1
19681203,1
19681205,1
19681205,1
19681209,1
19681210,1
19681212,1
19681215,1
19681216,1
19681216,1
19681218,1
19681220,1
19681221,1
19681225,1
19690101,1
19690101,1
19690101,1
19690101,1
19690110,1
19690110,1
19690123,1
19690206,1
19690220,1
19690226,1
19690301,1
19690301,1
19690301,1
19690303,1
19690310,1
19690317,1
19690328,1
19690329,1
19690405,1
19690408,1
19690412,1
19690425,1
19690428,1
19690429,1
19690430,1
19690501,1
19690502,1
19690503,1
19690516,1
19690527,1
19690528,1
19690529,1
19690530,1
19690530,1
19690603,1
19690604,1
19690606,1
19690610,1
19690625,1
19690704,1
19690715,1
19690717,1
19690722,1
19690723,1
19690725,1
19690808,1
19690814,1
19690815,1
19690818,1
19690821,1
19690821,1
19690821,1
19690822,1
19690822,1
19690822,1
19690825,1
19690830,1
19690905,1
19690923,1
19690925,1
19690925,1
19691001,1
19691003,1
19691005,1
19691007,1
19691009,1
19691010,1
19691011,1
19691011,1
19691014,1
19691018,1
19691021,1
19691023,1
19691024,1
19691027,1
19691027,1
19691028,1
19691031,1
19691031,1
19691103,1
19691125,1
19691125,1
19691129,1
19691201,1
19691203,1
19691205,1
19691210,1
19691225,1
19691227,1
19700101,1
19700101,1
19700101,1
19700101,1
19700109,1
19700112,1
19700121,1
19700204,1
19700204,1
19700204,1
19700204,1
19700204,1
19700209,1
19700226,1
19700301,1
19700303,1
19700310,1
19700312,1
19700315,1
19700316,1
19700328,1
19700331,1
19700401,1
19700404,1
19700405,1
19700405,1
19700406,1
19700409,1
19700410,1
19700415,1
19700421,1
19700422,1
19700427,1
19700428,1
19700501,1
19700502,1
19700505,1
19700516,1
19700523,1
19700526,1
19700529,1
19700602,1
19700606,1
19700610,1
19700625,1
19700629,1
19700707,1
19700712,1
19700717,1
19700718,1
19700723,1
19700810,1
19700815,1
19700829,1
19700901,1
19700901,1
19700902,1
19700916,1
19700925,1
19700925,1
19700928,1
19700928,1
19700930,1
19701001,1
19701002,1
19701002,1
19701003,1
19701005,1
19701006,1
19701009,1
19701010,1
19701013,1
19701016,1
19701021,1
19701024,1
19701027,1
19701101,1
19701103,1
19701110,1
19701111,1
19701115,1
19701130,1
19701205,1
19701208,1
19701210,1
19701216,1
19701217,1
19701217,1
19701225,1
19701230,1
19710101,1
19710101,1
19710101,1
19710101,1
19710111,1
19710111,1
19710121,1
19710122,1
19710123,1
19710131,1
19710206,1
19710208,1
19710219,1
19710225,1
19710226,1
19710301,1
19710303,1
19710310,1
19710311,1
19710317,1
19710318,1
19710319,1
19710323,1
19710323,1
19710324,1
19710327,1
19710330,1
19710331,1
19710401,1
19710402,1
19710404,1
19710405,1
19710406,1
19710407,1
19710409,1
19710410,1
19710412,1
19710413,1
19710414,1
19710414,1
19710415,1
19710417,1
19710420,1
19710421,1
19710422,1
19710423,1
19710423,1
19710424,1
19710425,1
19710426,1
19710426,1
19710502,1
19710516,1
19710517,1
19710601,1
19710606,1
19710625,1
19710701,1
19710701,1
19710717,1
19710720,1
19710721,1
19710726,1
19710730,1
19710730,1
19710805,1
19710815,1
19710829,1
19710902,1
19710902,1
19710917,1
19710923,1
19710925,1
19710925,1
19710929,1
19711001,1
19711003,1
19711008,1
19711009,1
19711015,1
19711020,1
19711021,1
19711024,1
19711027,1
19711030,1
19711106,1
19711130,1
19711205,1
19711206,1
19711206,1
19711223,1
19711225,1
19720101,1
19720101,1
19720101,1
19720110,1
19720111,1
19720121,1
19720123,1
19720207,1
19720226,1
19720301,1
19720302,1
19720307,1
19720323,1
19720324,1
19720330,1
19720331,1
19720401,1
19720404,1
19720405,1
19720406,1
19720417,1
19720508,1
19720516,1
19720518,1
19720606,1
19720614,1
19720616,1
19720620,1
19720625,1
19720717,1
19720720,1
19720802,1
19720815,1
19720825,1
19720902,1
19720902,1
19720920,1
19720925,1
19720929,1
19721001,1
19721003,1
19721006,1
19721009,1
19721009,1
19721017,1
19721024,1
19721027,1
19721027,1
19721031,1
19721122,1
19721125,1
19721130,1
19721130,1
19721205,1
19721213,1
19721223,1
19721223,1
19721225,1
19721225,1
19721226,1
19721227,1
19730101,1
19730110,1
19730112,1
19730113,1
19730123,1
19730123,1
19730124,1
19730124,1
19730207,1
19730209,1
19730222,1
19730226,1
19730301,1
19730301,1
19730307,1
19730312,1
19730314,1
19730320,1
19730323,1
19730325,1
19730325,1
19730330,1
19730331,1
19730405,1
19730406,1
19730407,1
19730417,1
19730426,1
19730505,1
19730606,1
19730623,1
19730702,1
19730703,1
19730717,1
19730720,1
19730815,1
19730826,1
19730921,1
19731001,1
19731003,1
19731004,1
19731009,1
19731011,1
19731012,1
19731024,1
19731026,1
19731114,1
19731122,1
19731130,1
19731205,1
19731225,1
19731229,1
19740104,1
19740108,1
19740114,1
19740117,1
19740118,1
19740121,1
19740226,1
19740301,1
19740305,1
19740329,1
19740330,1
19740403,1
19740405,1
19740406,1
19740409,1
19740510,1
19740522,1
19740524,1
19740604,1
19740606,1
19740623,1
19740628,1
19740716,1
19740717,1
19740815,1
19740820,1
19740823,1
19741001,1
19741003,1
19741004,1
19741004,1
19741008,1
19741009,1
19741024,1
19741122,1
19741122,1
19741123,1
19741130,1
19741205,1
19741216,1
19741218,1
19741225,1
19750101,1
19750114,1
19750121,1
19750122,1
19750213,1
19750215,1
19750226,1
19750301,1
19750326,1
19750328,1
19750329,1
19750405,1
19750410,1
19750412,1
19750429,1
19750513,1
19750606,1
19750625,1
19750625,1
19750704,1
19750705,1
19750705,1
19750707,1
19750717,1
19750719,1
19750815,1
19750825,1
19751001,1
19751003,1
19751004,1
19751004,1
19751007,1
19751009,1
19751013,1
19751024,1
19751129,1
19751204,1
19751205,1
19751210,1
19751220,1
19751220,1
19751225,1
19760101,1
19760115,1
19760121,1
19760216,1
19760226,1
19760301,1
19760326,1
19760327,1
19760403,1
19760405,1
19760409,1
19760420,1
19760501,1
19760531,1
19760606,1
19760704,1
19760717,1
19760804,1
19760815,1
19760820,1
19761001,1
19761003,1
19761004,1
